Código;Título;Autorxs;Org.;Tradução;Ano;Colecção;Volume;Editora;Local;Edição;Nº de Páginas;Ex. N.º;ISBN#;Formato;Etiquetas;Estatuto;Estado
0015/AGRABS;Our dead behind us;[Audre Lorde];[-];[-];1994;-;-;Norton;[USA];-;75;;978-0-393-31238-6;Impresso;[Poesia];Disponível para requisição;
0016/AGRABS;Pedagogia da esperança: Um reencontro com a Pedagogia do oprimido;[Paulo Freire];[-];[-];2006;-;-;Paz e Terra;[Rio de Janeiro];13;245;;85-219-0010-4;Impresso;[Educação* Pedagogia];Disponível para requisição;
0017/AGRABS;Revolutionary Women: a book of stencils;[-];[Queen of the Neighbourhood Collective];[-];2010;-;-;PM Press  ;[Oakland];1;123;;978-1604862003;Impresso;[Feminismos* Biografia];Disponível para requisição;
0018/AGRABS;Malditas: Una estirpe transfeminista;[Itziar Ziga];[-];[-];2015;-;-;Editorial Txalaparta, S.L.L.;[Navarra];2;161;n.1;978-84-15313-93-9;Impresso;[Feminismos];Disponível para requisição;
0019/AGRABS;Making trouble. Life and politics;[Lynne Segal];[-];[-];2007;Feminist Classics;-;Verso;[Inglaterra];-;310;;978-1-85242-937-9;Impresso;[Feminismos];Disponível para requisição;
0020/AGRABS;O sistema capitalista;[Mikhail Bakunin];[-];[Thaís Ribeiro Bueno];2007;-;-;Faísca Publicações Libertárias;[São Paulo];1;17;;-;Impresso;[Capitalismo];Disponível para requisição;
0021/AGRABS;Liberación animal más allá del veganismo;[Roberto Lemes];[-];[-];2016;-;-;Editorial Descontrol;[Barcelona];1;108;;9788416553396;Impresso;[Especismo* Libertação Animal];Disponível para requisição;
0022/AGRABS;La economia del bien común;[Christian Felber];[-];[Silvia Yusta];2013;-;-;Deusto;[Barcelona];8;286;;978-84-234-1280-8;Impresso;[Economia Solidária];Disponível para requisição;
0023/AGRABS;Comunicación y culturas del consumo;[-];[Maria Aparecida Baccega];[-];2012;Espacio Iberoamericano;4;Comunicación Social;[Espanha];1;263;;978-84-92860-96-8;Impresso;[Capitalismo* Consumo];Disponível para requisição;
0024/AGRABS;Discurso, Noticia e Ideologia: Estudos na análise crítica do discurso;[Teun A. van Dijk];[Revista Comunicação e Sociedade];[Zara Pinto Coelho];2005;-;3;Campo das Letras;[Porto];1;298;;989-625-000-6;Impresso;[Jornalismo];Disponível para requisição;
0025/AGRABS;Palabra y pluma: Textos políticos y otras mariconadas;[Gustavo Pecoraro];[-];[-];2014;-;-;La mariposa y la iguana;[Buenos Aires];1;281;;978-987-3808-00-5;Impresso;[Sexualidades* LGBT];Disponível para requisição;
0026/AGRABS;Emergent Strategy: Shaping change, changing worlds;[Adrienne Maree Brown];[-];[-];2017;-;-;AK Press;[USA];1;274;;978-1-84935-260-4;Impresso;[];Disponível para requisição;
0027/AGRABS;Ser jovem num bairro de habitação social;[Maria Cidália Queiroz* Marielle Christine Gros];[-];[-];2002;-;-;Campo das Letras;[Porto];1;206;;972-610-510-2;Impresso;[Sociologia];Disponível para requisição;
0028/AGRABS;O jacto de sangue;[Antonin Artaud];[-];[Colectivo Mandrágora];2015;-;-;Edições Bicicleta;[Paris, Cascais];1;11;;-;Impresso;[Artes* Teatro];Disponível para requisição;
0029/AGRABS;Para uma história da repressão do anarquismo em Portugal no século XIX. A questão anarchista;[Luís Bigotte Chorão* Bernardo Lucas];[-];[-];2015;-;-;Livraria Letra Livre;[Lisboa];1;177;;978-989-8268-31-0;Impresso;[Anarquismo];Disponível para requisição;
0030/AGRABS;Calibán y la bruja: Mujeres, cuerpo y acumulación originaria;[Silvia Federici];[-];[Veronica Hendel* Leopoldo Sebastián Touza];2016;-;-;Traficantes de sueños;[Madrid, Itália];6;372;;978-84-96453-51-7;Impresso;[Feminismos];Disponível para requisição;
0031/AGRABS;La révolution libertaire ;[Pierre-Joseph Proudhon* Michel Bakounine* Pierre Kropotkine];[Philippe Paraire* Michael Paraire];[-];2014;-;-;Les Editions de l'Épervier;[França];1;244;;978-2-36194-004-1;Impresso;[Anarquismo];Disponível para requisição;
0032/AGRABS;The Black Cone: Monument to civil desobedience;[Santiago Sierra];[-];[-];2012;-;-;Reykjavik Art Museum;[Islândia];1;135;;9979-769-47-5;Impresso;[Desobediência Civil];Disponível para requisição;
0033/AGRABS;La sociedad implosiva;[Corsino Vela];[-];[-];2015;muturreko burutazioak 24;-;Martxoak18;[Astúrias];1;222;;978-84-933205-6-0;Impresso;[Anti-capitalismo];Disponível para requisição;
0034/AGRABS;Self-defense for radicals;[Mickey Z.];[-];[-];2010;PM Press Pamphlet Series;8;PM Press;[Oakland];1;31;;978-1-60486-204-1;Impresso;[Autodefesa];Disponível para requisição;
0035/AGRABS;Bureaucratie;[David Graeber];[-];[Françoise* Paul Chemla];2015;-;-;Les liens qui libèrent;[França, USA];1;295;;979-10-209-0291-7;Impresso;[Anarquismo* Burocracia];Disponível para requisição;
0036/AGRABS;Anarchy in the USSR: a new beginning;[-];[Philip Ruff];[-];1991;-;-;ASP;[Londres];1;80;;1872258069;Impresso;[Anarquismo* USSR];Disponível para requisição;
0037/AGRABS;Animals and the limits of postmodernism;[Gary Steiner];[-];[-];2013;-;-;Columbia University Press;[USA];1;291;;9780231153430;Impresso;[Especismo];Disponível para requisição;
0038/AGRABS;Ucrania en la encrucijada: Anarquismo y antifascismo en el Maidán y en la guerra del Donbass;[Miguel Lena];[-];[-];2018;-;-;Editorial Aldarull;[Barcelona];1;249;;9788494477072;Impresso;[Anarquismo* Ucrânia];Disponível para requisição;
0039/AGRABS;Anarchists against the wall;[-];[Uri Gordon* Ohal Grietzer];[-];2013;-;-;AK Press/Institute for anarchist studies;[USA];1;139;;978-1-84935-114-0;Impresso;[Anarquismo* Palestina];Disponível para requisição;
0040/AGRABS;L'anarchie dans la société contemporaine: une hérésie nécessaire?;[Maurice Joyeux];[-];[-];1977;Synthèses Contemporaines;-;Casterman;[Belgique];2;189;;978-2203231146;Impresso;[Anarquismo];Disponível para requisição;
0041/AGRABS;Elecciones y anarquismo;[Errico Malatesta* Saverio Merlino* Alfredo M. Bonanno];[-];[-];2015;-;-;Editorial Diaclasa;[Estado Espanhol];1;157;;8485302192;Impresso;[Anarquismo];Disponível para requisição;
0042/AGRABS;Anarquismo é movimento: Anarquismo, neoanarquismo e pós-anarquismo;[Tomás Ibáñez];[-];[Sergio Norte];2015;-;-;Editora Imaginária;[São Paulo];1;158;;978-85-68115-11-4;Impresso;[Anarquismo];Disponível para requisição;
0043/AGRABS;Anarchism: A collection of revolutionary writings;[Peter Kropotkin];[Roger N. Baldwin];[-];2014;-;-;Dover Publications, Inc;[Mineola, New York];3;307;;978-0486419558;Impresso;[Anarquismo];Disponível para requisição;
0044/AGRABS;A concepção libertária da transformação social revolucionária;[Rudolf de Jong];[];[Beatriz Vianna Boeira];2008;;;Faísca Publicações Libertárias/Federação Anarquista do Livro;[Rio de Janeiro];1;103;;9788560982325;Impresso;[Anarquismo* Transformação Social];Disponível para requisição;
0045/AGRABS;Lifestyle politics and radical activism;[Laura Portwood-Stacer];[];[];2013;;;Bloomsbury Publishing Plc;[USA];1;198;;978-1441184269;Impresso;[Anarquismo* Perfiguração];Disponível para requisição;
0046/AGRABS;The value of radical theory: An anarchist introduction to Marx's critique of political economy;[Wayne Price];[-];[-];2013;-;-;AK Press;[Oakland, Edinburgh, Baltimore];1;189;;978-1939202017;Impresso;[Anarquismo* Economia Política* Marxismo];Disponível para requisição;
0047/AGRABS;Arena One: On anarchist cinema;[-];[Richard Porton];[];2009;;;PM Press/ChristieBooks;[Oakland, Londres];1;157;;978-1604860504;Impresso;[Anarquismo* Cinema];Disponível para requisição;
0048/AGRABS;Anarquismo y poder popular: Teoria y prática suramericana;[VV.AA.];[-];[-];2011;-;-;Ediciones Gato Negro;[Bogotá-Manresa];1;164;;-;Impresso;[Anarquismo* Teoria e Prática];Disponível para requisição;
0049/AGRABS;El anarquismo: Entre la teoría y la prática;[Alfredo M. Bonanno];[-];[-];2013;;;Bardo Ediciones;[Estado Espanhol];1;75;;-;Impresso;[Anarquismo* Teoria e Prática];Disponível para requisição;
0050/AGRABS;Fragments of an anarchist anthropology;[David Graeber];[Matthew Engelke];[];2006;;;Prickly Paradigm Press;[Chicago];2;105;;978-0972819640;Impresso;[Anarquismo* Antropologia];Disponível para requisição;
0051/AGRABS;L' Anarchism;[Henri Arvon];[];[];1964;;;Presses Universitaires de France;[Paris];3;128;;-;Impresso;[Anarquismo];Disponível para requisição;
0052/AGRABS;Anarchy and society: reflections on anarchist sociology;[Jeff Shantz* Dana W. Williams];[-];[-];2014;Studies in Critical Social Sciences;55;Haymarket Books;[Chicago];2;209;;978-1608463848;Impresso;[Anarquismo* Sociologia];Disponível para requisição;
0053/AGRABS;Descentrar la mirada para ampliar la visión: Reflexiones en torno a los movimientos sociales desde una perspectiva feminista y antirracista;[Florencia Brizuela González* Uriel López Martínez];[];[];2018;;-;Editorial Descontrol;[Barcelona];1;133;;978-84-17190-27-9;Impresso;[Feminismos* Anti-racismo* Movimentos sociais];Disponível para requisição;
0054/AGRABS;Jodidos Turistas;[VV.AA.];[-];[-];2017;;;Antipersona;[-];3;91;;978-84-697-7991-0;Impresso;[Cidade* Turismo];Disponível para requisição;
0055/AGRABS;Crítica da Razão Negra;[Achille Mbembe];[-];[Marta Lança];2017;;-;Antígona;[Lisboa];2;306;;978-972-608-254-5;Impresso;[Anti-racismo* Descolonialidades];Disponível para requisição;
0056/AGRABS;Políticas da Inimizade;[Achille Mbembe];[-];[Marta Lança];2017;;-;Antígona;[Lisboa];1;250;;978‑972‑608‑289-7;Impresso;[Anti-racismo* Descolonialidades* Necropolítica];Disponível para requisição;
0057/AGRABS;Black Skin, White Masks;[Frantz Fanon];[-];[Richard Philcox];2008;-;-;Grove Press;[New York];1;206;;978-0802143006;Impresso;[Descolonialidades* Anti-colonialismo* Racismo];Disponível para requisição;
0058/AGRABS;Afinidad y Organización Informal: Del centro a la periferia;[-];[-];[-];2018;;2;Houriya - Cuadernos anarquistas internacionalistas;[];;90;;-;Impresso;[Afinidade* Organização];Disponível para requisição;
0059/AGRABS;Contra-pedagogías de la Crueldad;[Rita Segato];[-];[-];2018;;-;Prometeo Libros;[Ciudad Autónoma de Buenos Aires];1;101;;978-987-574-911-5;Impresso;[Pedagogia* Crueldade];Disponível para requisição;
0060/AGRABS;Capitalism and Its Alternatives;[Chris Rogers];[-];[-];2014;;-;Zed Books;[London];1;170;;978-1-78032-736-5;Impresso;[Capitalismo];Disponível para requisição;
0061/AGRABS;Film and the Anarchist Imagination;[Richard Porton];[-];[-];1999;;-;Verso;[London and New York];1;314;;978-1-85984-261-4;Impresso;[Anarquismo* Cinema];Disponível para requisição;
0062/AGRABS;Asambleas y Reuniones: Metodologías de autoorganización;[Ana Rosa Lorenzo Vila* Miguel Martínez López];[-];[-];2005;;-;Asociación para a Economia Social/Traficante de Sueños;[Madrid];2;99;;84-96453-00-6;Impresso e e-book;[Assemblearismo* Organização];Disponível para requisição;
0063/AGRABS;Economía solidaria: De la obsesión por el lucro a la redistribuición con equidad ;[Caterine Galaz* Rodrigo Prieto];[-];[-];2006;;62;Icaria Editorial, s.a.;[Barcelona];1;101;;84-7426-880-X;Impresso;[Economia solidária];Disponível para requisição;
0064/AGRABS;Preferia roubar a ser roubado!: Textos sobre o roubo revolucionário;[-];[Mário Rui Pinto];[Carlos Jacques* Mário Rui Pinto];2017;;-;Barricada de Livros;[Lisboa];1;115;1;-;Impresso;[Anarquismo* Roubo];Disponível para requisição;
0065/AGRABS;The Ravensbrück Women's Concentration Camp: History and Memory;[-];[Alyn Bessmann* Insa Eschebach];[-];2013;;-;Metropol;[Berlim];1;327;;978-3-86331-139-1;Impresso;[Nazismo* História* Memória* Género];Disponível para consulta;
0066/AGRABS;Decoding Advertisements: Ideology and Meaning in Advertising;[Judith Williamson];[-];[-];2010;;-;Marion Boyars;[London];-;180;;9780714526157;Impresso;[Publicidade* Género];Disponível para requisição;
0067/AGRABS;Emma Goldman: Sexuality and The Impurity of the State;[Bonnie Haaland];[-];[-];1993;;-;Black Rose Books;[Montréal, New York and London];1;201;;1-895431-65-4;Impresso;[Emma Goldman* Anarquismo* Sexualidades];Disponível para requisição;
0068/AGRABS;The Ethical Slut: A Practical Guide to Polyamory, Open Relationships and Other Adventures ;[Dossie Easton* Janet W. Hardy];[-];[-];2009;;-;Celestial Arts;[Berkeley];2;288;;978-1-58761-337-1;Impresso;[Não-monogamias* tica* Sexualidades];Disponível para requisição;
0069/AGRABS;Berlin 1933-1945: Between Propaganda and Terror (Catalogue);[-];[Claudia Steur* Mirjam Kutzner/Stiftung Topographie des Terrors];[-];2010;;-;Stiftung Topographie des Terrors;[Berlim];3;263;;978-3-941772-03-8;Impresso;[Nazismo* História* Memória];Disponível para consulta;
0070/AGRABS;The Queer Art of Failure;[Judith Halberstam];[-];[-];2011;;-;Duke University Press;[Durham and London];1;211;;978-0-8223-5045-3;Impresso e e-book;[Queer* Sexualidades];Disponível para requisição;
0071/AGRABS;Academic Repression: Reflections from the Academic Industrial Complex;[-];[Anthony J. Nocella II* Steven Best* Peter McLaren  ];[-];2010;-;-;AK Press;[Oakland, Edinburgh. Baltimore];1;590;;978-1904859987;Impresso;[Academia* Repressão* Neoliberalismo* Pedagogia];Disponível para requisição;
0072/AGRABS;No Gods, No Masters: An Anthology of Anarchism;[Daniel Guérin];[-];[Paul Sharkey];2005;;-;AK Press;[Oakland];2;699;;978-1904859253;Impresso e e-book;[Anarquismo];Disponível para consulta;
0073/AGRABS;Exquisite Rebel: The Essays of Voltairine de Cleyre - Anarchist, Feminist, Genius;[Voltairine de Cleyre];[Sharon Presley* Crispin Sartwell];[-];2005;;-;State University of New York Press;[New York];1;331;;0-7914-6094-0;Impresso;[Anarquismo* Feminismo* História* ];Disponível para requisição;
0074/AGRABS;Devenir Perra;[Itziar Ziga];[-];[-];2009;UHF;-;Melusina;[Estado espanhol];1;173;;978-84-96614-69-7;Impresso;[Feminismo* Género* Transfeminismo];Disponível para requisição;
0075/AGRABS;Malditas: Una Estirpe Transfeminista;[Itziar Ziga];[-];[-];2014;-;-;Txalaparta;[Tafalla];1;159;;978-84-15313-93-9;Impresso;[Transfeminismo* História* Transformação social];;
0076/AGRABS;Teoría King Kong;[Virginie Despentes];[-];[[Paul] Beatriz Preciado];2011;UHF;-;Melusina;[Estado espanhol];3;125;;978-84-96614-76-5;Impresso;[Feminismo* Género* Transfeminismo];Disponível para requisição;
0077/AGRABS;Feminism Meets Queer Theory;[-];[Elizabeth Weed* Naomi Schor];[-];1997;Books from differences;-;Indiana University Press;[Bloomington and Indianapolis];1;341;;978-0-253-21118-7;Impresso;[Feminismo* Queer* LGBT* Transfeminismo* Crítica feminista];Disponível para requisição;
0078/AGRABS;Nobody Passes: Rejecting the Rules of Gender and Conformity;[-];[Mattilda aka Matt Bernstein Sycamore];[-];2006;-;-;Seal Press;[Berkeley, CA];1;354;;978-1-58005-184-2;Impresso;[Género* Sexualidades* LGBT* Transfeminismo];Disponível para requisição;
0079/AGRABS;Animal Oppression and Human Violence: Domesecration, Capitalism, and Global Conflict ;[David A. Nibert];[-];[-];2013;Critical Perspectives on Animals: Theory, Culture, Science, and Law;-;Columbia University Press;[New York];1;336;;978-0-231-15189-4;Impresso ;[Especismo* Libertação Animal* Capitalismo];Disponível para requisição;
0080/AGRABS;Animal Rights/Human Rights: Entanglements of Oppression and Liberation;[David A. Nibert];[-];[-];2002;-;-;Rowman and Littlefield Publishers, Inc;[Lanham, Boulder, New York and Oxford];1;269;;0-7425-1776-4;Impresso;[Especismo* Capitalismo* Opressão* Libertação animal];Disponível para requisição;
0081/AGRABS;The Accumulation of Freedom: Writings on Anarchist Economics;[-];[Deric Shannon* Anthony J. Nocella II* John Asimakopoulos];[-];2012;-;-;AK Press;[Oakland, Edinburgh. Baltimore];1;375;;978-1-84935-094-5;Impresso e e-book;[Anarquismo* Economia];Disponível para requisição;
0082/AGRABS;Anarchism and Animal LIberation: Essays on Complementary Elements of Total LIberation;[-];[Anthony J. Nocella II* Richard J. White* Erika Cudworth];[-];2015;-;-;McFarland & Company, Inc;[Jefferson, North California];1;234;;978-0-7864-9457-6;Impresso;[Libertação animal* Especismo* Anarquismo];Disponível para requisição;
0083/AGRABS;Taking Sides: Revolutionary Solidarity and the Poverty of Liberalism;[-];[Cindy Milstein];[-];2015;-;-;AK Press;[Oakland, Edinburgh and Baltimore];1;156;;978-1-84935-232-1;Impresso;[Anti-colonialismo* Liberalismo* Solidariedade];Disponível para requisição;
0084/AGRABS;The End of the World as We Know It? Crisis, Resistance, and the Age of Austerity;[-];[Deric Shannon];[-];2014;-;-;AK Press;[Oakland, Edinburgh and Baltimore];1;522;;978-1-84935-186-7;Impresso;[Austeridade* Neoliberalismo* Resistência];Disponível para requisição;
0085/AGRABS;Nature Ethics: An Ecofeminist Perspective;[Marti Kheel];[-];[-];2008;Studies in Social, Political and Legal Philosophy;-;Rowman and Littlefield Publishers, Inc.;[Plymouth];1;179;;978-1-46164-029-5;Impresso;[Ecofeminismo* Ética* Libertação Animal];Disponível para requisição;
0086/AGRABS;Theorizing Sexuality ;[Stevi Jackson* Sue Scott];[-];[-];2010;Theorizing Society;-;Open University Press;[Berkshire and New York];1;190;;978-0335218240;Impresso;[Sexualidades* teoria feminista* heterossexualidade];Disponível para requisição;
0087/AGRABS;Sei Porque Canta o Pássaro na Gaiola;[Maya Angelou];[-];[Tânia Ganho];2017;-;-;Antígona;[Lisboa];1;302;;978-972-608-307-8;Impresso;[Racismo* História* Memória];Disponível para requisição;
0088/AGRABS;Masculinities;[Raewyn W. Connell  ];[-];[-];2005;-;-;Polity Press;[Cambridge];2;324;;978-0745634272;Impresso;[Masculinidades* Género* Feminismo];Disponível para requisição;
0089/AGRABS;Female Masculinity;[ Judith Halberstam];[-];[-];1998;-;-;Duke University Press;[Durham and London];1;329;;978-0822322436;Impresso;[Masculinidades* Género* LGBT* Sexualidades];Disponível para requisição;
0090/AGRABS;Epistemology of the Closet;[Eve Kosofsky Sedgwick];[-];[-];1990;-;-;University of California Press;[Berkeley and Los Angeles];1;258;;0-520-07874-8;Impresso;[Género* Sexualidades* LGBT];Disponível para requisição;
0091/AGRABS;We Do Not Fear Anarchy - We Invoke It: The First International and the Origins of the Anarchist Movement;[Robert Graham];[-];[-];2015;-;-;AK Press;[];;;;978-1849352116;Impresso;[Anarquismo* Histria];Disponível para requisição;
0092/AGRABS;The Subversion Of Politics: European Autonomous Social Movements and the Decolonisation of Everyday Life: European Autonomous Social Movements and the Decolonization of Everyday Life;[Georgy Katsiaficas];[-];[-];2006;-;-;AK Press;[Oakland and Edinburg];-;299;;978-1904859536;Impresso;[Movimentos sociais* Autonomia* Anti-capitalismo* História];Disponível para requisição;
0093/AGRABS;Decolonizing Anarchism: An Antiauthoritarian History of India's Liberation Struggle;[Maia Ramnath];[-];[-];2012;Anarchist Interventions;-;AK Press;[Edinburgh, Oakland and Baltimore];1;294;;978-1849350822;Impresso ;[Anarquismo* Descolonialidades* Anti-colonialismo* História];Disponível para requisição;
0094/AGRABS;The Bloomsbury Companion to Anarchism;[-];[Ruth Kinna];[-];2014;Bloomsbury Companions;-;Bloomsbury ;[London, New Delhi, New York and Sydney];2;469;;978-1628924305;Impresso;[Anarquismo* História];Disponível para consulta;
0095/AGRABS;Information Politics: Liberation and Exploitation in the Digital Society;[Tim Jordan];[-];[-];2015;Digital Barricades: Interventions in Digital Culture and Politics;-;Pluto Press;[London ];1;232;;978-0745333663;Impresso;[Média* Tecnologias de informação* Cultura digital];Disponível para requisição;
0096/AGRABS;Information Liberation: Challenging the Corruptions of Information Power;[Brian Martin];[-];[-];1998;-;-;Freedom Press;[London];1;181;;0-900-384-93-X;Impresso;[Média* Burocracia* Libertação* Corrupção* Propriedade intelectual];Disponível para requisição;
0097/AGRABS;The Voltairine De Cleyre Reader;[Voltairine de Cleyre];[A. J. Brigati];[-];2004;-;-;AK Press;[Edinburgh, Oakland and Baltimore];1;251;;978-1902593876;Impresso;[Anarquismo* Feminismo* Anarco-feminismo* História];Disponível para requisição;
0098/AGRABS;Feminism without Borders: Decolonizing Theory, Practicing Solidarity;[Chandra Talpade Mohanty];[-];[-];2003;-;-;Duke University Press;[Durham and London];1;300;;978-0822330219;Impresso;[Feminismo* Descolonialidades* Feminismo descolonial* Anti-capitalismo];Disponível para requisição;
0099/AGRABS;The Concealment of the State;[Jason Royce Lindsey];[-];[-];2013;Contemporary Anarchist Studies;-;Bloomsbury;[New York, London, New Delhi and Sydney];1;181;;978-1441102065;Impresso;[Anarquismo* Estado* Capitalismo* Soberania];Disponível para requisição;
0100/AGRABS;Cartography Of Revolutionary Anarchism;[Michael Schmidt];[-];[-];2013;-;-;AK Press;[Edinburgh, Oakland and Baltimore];;160;;978-1849351386;Impresso;[Anarquismo* HIstória* Classe];Disponível para requisição;
0101/AGRABS;Rules without Rulers: The Possibilities and Limits of Anarchism;[Matthew Wilson];[-];[-];2014;-;-;Zero Books;[];;;;978-1782790075;Impresso;[Anarquismo* Organização* Estado* Capitalismo];Disponível para requisição;
0102/AGRABS;Articulating Dissent: Protest and the Public Sphere;[Pollyanna Ruiz];[-];[-];2014;-;-;Pluto Press;[London];1;217;;978-0745333052;Impresso;[Protesto* Espaço público* Movimentos sociais* Dominação];Disponível para requisição;
0103/AGRABS;The Tyranny of Theory: A Contribution to the Anarchist Critique of Marxism;[Ronald D. Tabor];[-];[-];2013;-;-;Black Cat Press;[Edmonton, Alberta];1;349;;978-1926878126;Impresso;[Anarquismo* Marxismo* Capitalismo* História* Totalitarismo];Disponível para requisição;
0104/AGRABS;Underground Passages: Anarchist Resistance Culture 1848-2011;[Jesse Cohn];[-];[-];2014;-;-;AK Press;[Edinburgh, Oakland and Baltimore];1;421;;978-1849352017;Impresso;[Anarquismo* Cultura* Resistência* História];Disponível para requisição;
0105/AGRABS;Critical Animal and Media Studies: Communication for Nonhuman Animal Advocacy;[-];[Núria Almiron* Matthew Cole* Carrie P. Freeman];[-];2016;Routledge Research in Cultural and Media Studies;77;Routledge;[New York and London];1;295;;978-1138842267;Impresso;[Média* Especismo* Libertação animal];Disponível para requisição;
0106/AGRABS;Total Liberation: The Power and Promise of Animal Rights and the Radical Earth Movement;[David Naguib Pellow];[-];[-];2014;-;-;University of Minnesota Press;[Minneapolis and London];1;342;;978-0816687770;Impresso;[Especismo* Libertação Animal* Ecologia* Movimentos sociais];Disponível para requisição;
0107/AGRABS;Sistah Vegan: Black Female Vegans Speak on Food, Identity, Health, and Society;[-];[A. Breeze Harper];[-];2010;-;-;Lantern Books;[Brooklyn];1;208;;978-1590561454;Impresso;[Veganismo* Negritude* Mulheres afro-americanas* Identidade];Disponível para requisição;
0108/AGRABS;Animal Machines;[Ruth Harrison];[-];[-];2013;-;-;CABI Publishing;[Oxfordshire and Boston];1;211;;978-1780642840;Impresso;[Complexo industrial animal* Especismo];Disponível para requisição;
0109/AGRABS;El nuevo orden mundial (y el viejo);[Noam Chomsky];[-];[Carmen Castells];2013;Contemporánea Humanidades;-;Austral;[Barcelona];;386;;978-8408119265;Impresso;[Capitalismo* Estado* Neoliberalismo];Disponível para requisição;
0110/AGRABS;Animal to Edible;[Noelie Vialles];[-];[J. A. Underwood];1994;-;-;Cambridge University Press/ Editions de la Maison des Sciences de l'Homme;[Cambridge];1;142;;978-0521466721;Impresso;[Complexo industrial animal* Carnismo* Especismo];Disponível para requisição;
0111/AGRABS;La doctrina del shock: El auge del capitalismo del desastre;[Naomi Klein];[-];[Isabel Fuentes García* Albino Santos Mosquera* Remedios Diéguez Diéguez];2012;Booket | Divulgación Actualidad;2;Ediciones Paidós;[Barcelona];1;702;;978-8408006732;Impresso;[Capitalismo* Violência* Democracia];Disponível para requisição;
